Land;Landskode;2delt verden;Verdensdel
Ecuador;735;Asia, Afrika, Latin-Amerika, Oseania unntatt Australia og New Zealand og Europa utenom EU/EÃ˜S;SÃ¸r- og Mellom-Amerika
FalklandsÃ¸yene;740;Asia, Afrika, Latin-Amerika, Oseania unntatt Australia og New Zealand og Europa utenom EU/EÃ˜S;SÃ¸r- og Mellom-Amerika
Fransk Guyana;745;Asia, Afrika, Latin-Amerika, Oseania unntatt Australia og New Zealand og Europa utenom EU/EÃ˜S;SÃ¸r- og Mellom-Amerika
Paraguay;755;Asia, Afrika, Latin-Amerika, Oseania unntatt Australia og New Zealand og Europa utenom EU/EÃ˜S;SÃ¸r- og Mellom-Amerika
Peru;760;Asia, Afrika, Latin-Amerika, Oseania unntatt Australia og New Zealand og Europa utenom EU/EÃ˜S;SÃ¸r- og Mellom-Amerika
Surinam;765;Asia, Afrika, Latin-Amerika, Oseania unntatt Australia og New Zealand og Europa utenom EU/EÃ˜S;SÃ¸r- og Mellom-Amerika
Uruguay;770;Asia, Afrika, Latin-Amerika, Oseania unntatt Australia og New Zealand og Europa utenom EU/EÃ˜S;SÃ¸r- og Mellom-Amerika
Venezuela;775;Asia, Afrika, Latin-Amerika, Oseania unntatt Australia og New Zealand og Europa utenom EU/EÃ˜S;SÃ¸r- og Mellom-Amerika
Amerikansk Samoa;802;Asia, Afrika, Latin-Amerika, Oseania unntatt Australia og New Zealand og Europa utenom EU/EÃ˜S;Oseania
Australia;805;EU/EÃ˜S, USA, Canada, Australia og New Zealand;Oseania
SalomonÃ¸yene;806;Asia, Afrika, Latin-Amerika, Oseania unntatt Australia og New Zealand og Europa utenom EU/EÃ˜S;Oseania
ChristmasÃ¸ya;807;Asia, Afrika, Latin-Amerika, Oseania unntatt Australia og New Zealand og Europa utenom EU/EÃ˜S;Oseania
KokosÃ¸yene;808;Asia, Afrika, Latin-Amerika, Oseania unntatt Australia og New Zealand og Europa utenom EU/EÃ˜S;Oseania
CookÃ¸yene;809;Asia, Afrika, Latin-Amerika, Oseania unntatt Australia og New Zealand og Europa utenom EU/EÃ˜S;Oseania
Fiji;811;Asia, Afrika, Latin-Amerika, Oseania unntatt Australia og New Zealand og Europa utenom EU/EÃ˜S;Oseania
Vanuatu;812;Asia, Afrika, Latin-Amerika, Oseania unntatt Australia og New Zealand og Europa utenom EU/EÃ˜S;Oseania
Tonga;813;Asia, Afrika, Latin-Amerika, Oseania unntatt Australia og New Zealand og Europa utenom EU/EÃ˜S;Oseania
Fransk Polynesia;814;Asia, Afrika, Latin-Amerika, Oseania unntatt Australia og New Zealand og Europa utenom EU/EÃ˜S;Oseania
Kiribati;815;Asia, Afrika, Latin-Amerika, Oseania unntatt Australia og New Zealand og Europa utenom EU/EÃ˜S;Oseania
Tuvalu;816;Asia, Afrika, Latin-Amerika, Oseania unntatt Australia og New Zealand og Europa utenom EU/EÃ˜S;Oseania
Guam;817;Asia, Afrika, Latin-Amerika, Oseania unntatt Australia og New Zealand og Europa utenom EU/EÃ˜S;Oseania
Nauru;818;Asia, Afrika, Latin-Amerika, Oseania unntatt Australia og New Zealand og Europa utenom EU/EÃ˜S;Oseania
USAs ytre smÃ¥Ã¸yer;819;Asia, Afrika, Latin-Amerika, Oseania unntatt Australia og New Zealand og Europa utenom EU/EÃ˜S;Oseania
New Zealand;820;EU/EÃ˜S, USA, Canada, Australia og New Zealand;Oseania
Niue;821;Asia, Afrika, Latin-Amerika, Oseania unntatt Australia og New Zealand og Europa utenom EU/EÃ˜S;Oseania
NorfolkÃ¸ya;822;Asia, Afrika, Latin-Amerika, Oseania unntatt Australia og New Zealand og Europa utenom EU/EÃ˜S;Oseania
MikronesiafÃ¸derasjonen;826;Asia, Afrika, Latin-Amerika, Oseania unntatt Australia og New Zealand og Europa utenom EU/EÃ˜S;Oseania
Papua Ny-Guinea;827;Asia, Afrika, Latin-Amerika, Oseania unntatt Australia og New Zealand og Europa utenom EU/EÃ˜S;Oseania
Pitcairn;828;Asia, Afrika, Latin-Amerika, Oseania unntatt Australia og New Zealand og Europa utenom EU/EÃ˜S;Oseania
Tokelau;829;Asia, Afrika, Latin-Amerika, Oseania unntatt Australia og New Zealand og Europa utenom EU/EÃ˜S;Oseania
Samoa;830;Asia, Afrika, Latin-Amerika, Oseania unntatt Australia og New Zealand og Europa utenom EU/EÃ˜S;Oseania
Wallis- og FutunaÃ¸yene;832;Asia, Afrika, Latin-Amerika, Oseania unntatt Australia og New Zealand og Europa utenom EU/EÃ˜S;Oseania
Ny-Caledonia;833;Asia, Afrika, Latin-Amerika, Oseania unntatt Australia og New Zealand og Europa utenom EU/EÃ˜S;Oseania
MarshallÃ¸yene;835;Asia, Afrika, Latin-Amerika, Oseania unntatt Australia og New Zealand og Europa utenom EU/EÃ˜S;Oseania
Palau;839;Asia, Afrika, Latin-Amerika, Oseania unntatt Australia og New Zealand og Europa utenom EU/EÃ˜S;Oseania
Nord-Marianene;840;Asia, Afrika, Latin-Amerika, Oseania unntatt Australia og New Zealand og Europa utenom EU/EÃ˜S;Oseania
StatslÃ¸s;980;Asia, Afrika, Latin-Amerika, Oseania unntatt Australia og New Zealand og Europa utenom EU/EÃ˜S;StatslÃ¸se
Uoppgitt;990;Asia, Afrika, Latin-Amerika, Oseania unntatt Australia og New Zealand og Europa utenom EU/EÃ˜S;Uoppgitt
